,City Name,City ID,Cloudiness,Date,Humidity,Latitude,Longitude,Max Temp,Min Temp,Wind Speed
0,babushkin,2027276,0,1570051887,60,51.72,105.86,38.31,38.31,6.44
1,port elizabeth,212962,6,1570051887,78,-7.04,29.76,67.04,67.04,2.71
2,mataura,6201424,98,1570051888,93,-46.19,168.86,46.0,46.0,3.0
3,nikolskoye,546105,75,1570051888,81,59.7,30.79,42.8,42.01,6.71
4,airai,1651810,0,1570051888,58,-8.93,125.41,68.53,68.53,2.95
5,rikitea,4030556,100,1570051888,86,-23.12,-134.97,61.86,61.86,10.13
6,qingdao,1797929,0,1570051889,82,36.09,120.35,57.2,57.2,2.24
7,pereira barreto,3672486,40,1570051889,73,4.81,-75.69,75.2,69.8,3.36
8,busselton,2075265,76,1570051889,67,-33.64,115.35,55.99,54.0,9.4
9,bethel,5880568,90,1570051604,87,60.79,-161.76,50.0,48.2,12.75
10,vila velha,3164565,0,1570051890,82,45.18,8.4,66.0,55.0,5.82
11,arraial do cabo,6322152,0,1570051891,22,-22.84,-46.65,91.4,84.2,6.93
12,annau,162199,40,1570051891,47,37.89,58.52,59.0,59.0,2.24
13,alugan,1731248,43,1570051891,96,12.22,125.48,73.38,73.38,1.54
14,tuktoyaktuk,6170031,75,1570051892,86,69.44,-133.03,39.2,39.2,10.29
15,imbituba,3461370,0,1570051892,78,-28.24,-48.67,73.4,73.4,10.29
16,bluff,2175403,0,1570051892,76,-23.58,149.07,62.32,62.32,14.56
17,honningsvag,779554,75,1570051594,69,70.98,25.97,39.2,37.4,16.11
18,lompoc,5367788,1,1570051892,25,34.64,-120.46,80.6,72.0,13.87
19,east london,235489,100,1570051892,94,3.43,31.7,69.54,69.54,2.17
20,mount isa,2654993,77,1570051893,93,53.66,-1.85,46.4,37.0,3.36
21,vaini,1273574,31,1570051893,94,15.34,74.49,74.67,74.67,1.66
22,nadym,1498087,100,1570051893,93,65.53,72.51,47.15,47.15,19.3
23,zyryanskoye,1484892,89,1570051893,84,56.83,86.62,39.99,39.99,9.82
24,san quintin,2451778,35,1570051802,60,13.3,-4.9,81.76,81.76,7.94
25,amahai,1651591,67,1570051894,87,-3.31,129.0,76.56,76.56,6.31
26,severo-kurilsk,2121385,100,1570051894,93,50.68,156.12,48.18,48.18,14.34
27,chuy,3443061,100,1570051894,88,-33.69,-53.46,54.76,54.76,23.89
28,jaguaruna,3460197,69,1570051895,88,-28.62,-49.03,66.73,66.73,5.41
29,mitu,117392,0,1570051895,47,36.2,46.09,51.43,51.43,2.04
30,avera,4231997,40,1570051895,36,33.19,-82.53,96.8,91.99,1.39
31,vila franca do campo,3164565,0,1570051895,82,45.18,8.4,66.0,55.0,5.82
32,bredasdorp,1015776,76,1570051896,87,-34.53,20.04,57.2,57.2,6.93
33,hobart,2163355,0,1570051896,62,-42.88,147.33,55.0,48.0,10.29
34,tuatapere,2180815,100,1570051896,93,-46.13,167.69,46.0,46.0,3.0
35,necochea,3430443,0,1570051896,69,-38.55,-58.74,46.0,46.0,1.99
36,ushuaia,3833367,75,1570051897,75,-54.81,-68.31,44.6,42.8,31.09
37,vardo,4372777,1,1570051897,36,39.62,-77.74,91.99,87.01,12.75
38,vostok,2013279,92,1570051897,91,46.45,135.83,58.67,58.67,3.51
39,hobyo,57000,86,1570051897,88,5.35,48.53,77.66,77.66,11.12
40,chokurdakh,2126123,99,1570051897,94,70.62,147.9,25.73,25.73,14.25
41,alta floresta,847633,90,1570051898,74,69.97,23.27,37.4,35.01,12.75
42,puerto ayora,3838859,75,1570051898,43,-51.62,-69.23,51.8,51.8,24.16
43,castro,3896218,0,1570051898,43,-42.48,-73.76,51.8,51.8,8.05
44,mar del plata,1281368,26,1570051898,71,29.86,90.73,33.09,33.09,3.31
45,albany,5106834,90,1570051899,82,42.65,-73.75,64.4,51.01,8.05
46,hay river,2163774,0,1570051899,42,-34.51,144.84,63.53,63.53,17.25
47,ilulissat,3423146,100,1570051900,34,69.22,-51.1,48.2,48.2,21.92
48,yellowknife,6185377,75,1570051900,50,62.45,-114.38,51.8,51.01,11.41
49,esperance,2071860,40,1570051900,100,-33.86,121.89,55.4,55.4,8.05
50,vilhena,3924679,20,1570051901,65,-12.74,-60.15,82.4,82.4,6.93
51,deputatskiy,2028164,100,1570051901,87,69.3,139.9,20.96,20.96,24.4
52,waipawa,2185329,0,1570051901,62,-39.94,176.59,46.9,46.9,11.95
53,mao,3496831,40,1570051902,100,19.55,-71.08,78.8,75.0,6.93
54,acajutla,3587498,40,1570051707,69,13.59,-89.83,80.6,80.6,3.36
55,lorengau,2092164,80,1570051902,82,-2.02,147.27,78.45,78.45,3.96
56,sorland,3137469,20,1570051902,64,67.67,12.69,35.6,35.6,5.82
57,punta arenas,1720681,75,1570051903,83,14.18,121.12,77.0,73.0,4.7
58,tessalit,2449893,0,1570051903,9,20.2,1.01,91.47,91.47,7.34
